IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
54.184.86.2,80,80,false,ORD,North America,Chicago,205,0.00
18.236.74.87,2087,80,false,ORD,North America,Chicago,196,0.00
18.236.74.87,2095,80,false,ORD,North America,Chicago,200,0.00
18.236.74.87,2053,80,false,ORD,North America,Chicago,211,0.00
34.215.147.199,8880,80,false,ORD,North America,Chicago,207,0.00
18.236.74.87,8080,80,false,ORD,North America,Chicago,213,0.00
18.236.74.87,443,80,false,ORD,North America,Chicago,205,0.00
18.236.74.87,2086,80,false,ORD,North America,Chicago,196,0.00
35.92.242.217,2082,80,false,ORD,North America,Chicago,219,0.00
34.222.229.251,2087,80,false,ORD,North America,Chicago,200,0.00
35.93.188.199,8080,80,false,ORD,North America,Chicago,219,0.00
34.221.108.31,80,80,false,ORD,North America,Chicago,208,0.00
54.179.247.239,8080,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.250.43.234,8080,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.50.161,8080,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.250.95.122,8080,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.163.115,8080,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.250.96.183,8080,80,false,SIN,Asia Pacific,Singapore,1,0.00
52.76.182.63,2083,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.213.34.245,8080,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.229.107.89,2082,80,false,CGK,Asia Pacific,Jakarta,2,0.00
52.76.182.63,2082,80,false,SIN,Asia Pacific,Singapore,2,0.00
13.228.142.218,443,443,true,SIN,Asia Pacific,Singapore,2,0.00
13.229.159.215,443,443,true,SIN,Asia Pacific,Singapore,3,0.00
13.215.200.239,8080,80,false,SIN,Asia Pacific,Singapore,3,0.00
52.76.182.63,2053,80,false,SIN,Asia Pacific,Singapore,3,0.00
52.76.182.63,2096,80,false,SIN,Asia Pacific,Singapore,4,0.00
52.76.182.63,2095,80,false,SIN,Asia Pacific,Singapore,6,0.00
52.76.182.63,2086,80,false,SIN,Asia Pacific,Singapore,7,0.00
13.213.15.227,8080,80,false,SIN,Asia Pacific,Singapore,11,0.00
52.76.182.63,2087,80,false,SIN,Asia Pacific,Singapore,13,0.00
52.76.182.63,2052,80,false,SIN,Asia Pacific,Singapore,14,0.00
16.162.177.179,2096,80,false,HKG,Asia Pacific,Hong Kong,31,0.00
16.162.172.91,2052,80,false,HKG,Asia Pacific,Hong Kong,31,0.00
16.162.172.91,2082,80,false,HKG,Asia Pacific,Hong Kong,31,0.00
16.162.177.179,2087,80,false,HKG,Asia Pacific,Hong Kong,31,0.00
16.162.177.179,2052,80,false,HKG,Asia Pacific,Hong Kong,31,0.00
16.162.177.179,2053,80,false,HKG,Asia Pacific,Hong Kong,31,0.00
16.162.177.179,2082,80,false,HKG,Asia Pacific,Hong Kong,32,0.00
16.162.172.91,2083,80,false,HKG,Asia Pacific,Hong Kong,33,0.00
16.162.177.179,2086,80,false,HKG,Asia Pacific,Hong Kong,33,0.00
16.162.172.91,2087,80,false,HKG,Asia Pacific,Hong Kong,33,0.00
16.162.172.91,2095,80,false,HKG,Asia Pacific,Hong Kong,34,0.00
